,model,params,score,train_time,test_time
36,Logistic Regression,"('l1', 'liblinear', 2.3357214690901213)",33.333,0.22514357200270751,0.1600252529970021
37,Logistic Regression,"('l1', 'liblinear', 3.792690190732246)",33.333,0.21673133799777133,0.16650946700247005
38,Logistic Regression,"('l1', 'liblinear', 6.158482110660261)",33.333,0.2765457860004972,0.16056129700154997
39,Logistic Regression,"('l1', 'liblinear', 10.0)",33.333,0.2861988059958094,0.16027752900117775
40,Logistic Regression,"('l2', 'saga', 0.001)",38.095,0.2377141050019418,0.1595581180008594
41,Logistic Regression,"('l2', 'saga', 0.001623776739188721)",38.095,0.22229750500264345,0.15982013900065795
42,Logistic Regression,"('l2', 'saga', 0.0026366508987303583)",38.095,0.23780898500262992,0.16413399299926823
43,Logistic Regression,"('l2', 'saga', 0.004281332398719396)",38.095,0.23540500199305825,0.15856248599448008
44,Logistic Regression,"('l2', 'saga', 0.0069519279617756054)",38.095,0.2812426050004433,0.15743212099914672
45,Logistic Regression,"('l2', 'saga', 0.011288378916846888)",38.095,0.2640741169961984,0.15896695000265026
46,Logistic Regression,"('l2', 'saga', 0.018329807108324356)",38.095,0.2702316750001046,0.17155433400330367
47,Logistic Regression,"('l2', 'saga', 0.029763514416313176)",38.095,0.2853459300022223,0.16107283600285882
48,Logistic Regression,"('l2', 'saga', 0.04832930238571752)",38.095,0.25145470799907343,0.16175553100038087
49,Logistic Regression,"('l2', 'saga', 0.07847599703514611)",38.095,0.2551737600006163,0.16437379400304053
50,Logistic Regression,"('l2', 'saga', 0.12742749857031335)",33.333,0.2654453930008458,0.16023148899694206
51,Logistic Regression,"('l2', 'saga', 0.20691380811147903)",33.333,0.2703991890011821,0.16490427000098862
52,Logistic Regression,"('l2', 'saga', 0.3359818286283781)",33.333,0.2802719520041137,0.16263300200080266
53,Logistic Regression,"('l2', 'saga', 0.5455594781168515)",33.333,0.25117922099889256,0.16062425400014035
54,Logistic Regression,"('l2', 'saga', 0.8858667904100823)",33.333,0.3750066639986471,0.1587763939969591
